487,17,Une tuerie les tenders sont super croustillants !,2025-05-04,5
2707,7,Bonne alliance entre le saumon et le fromage.,2024-12-02,5
209,1,Rejet total : présence de brocolis non signalée.,2024-01-26,1
2876,25,L'essence même de l'Ordre dans un plat.,2024-12-24,3
1296,15,Le fromage fumé fait toute la différence.,2024-08-11,5
529,21,Un peu trop gras pour une réunion secrète.,2025-11-12,4
592,6,L'ananas apporte une fraîcheur surprenante.,2024-09-25,3
1998,5,Plat généreux mais présentation à revoir.,2026-02-22,1
1945,7,Parfait pour célébrer un nouveau grade.,2025-07-02,4
1913,10,Une raclette digne des plus grands chevaliers...,2025-08-11,5
546,6,Les tenders étaient d'une tendreté transcendante...,2025-01-02,5
2342,5,Repas exceptionnel. Le fromage fondait...,2025-10-28,5
12,1,Le banquet de l'Ordre Suprême...,2025-10-28,5
610,4,Dégustations sublimes. Les chevaliers ont honoré...,2024-09-17,5
944,21,La lame chauffante a fait des merveilles...,2025-10-04,5
1882,8,La Cène du Coulant Éternel porte bien son nom...,2024-07-10,5
1056,19,Les porte-spatules ont assuré avec maestria...,2024-04-03,5
2896,13,La nuit du fromage interminable...,2025-11-02,5
98,1,Souper des initiés réussi à merveille...,2025-10-28,5
1251,4,Communion parfaite autour du tender béni...,2024-12-31,5
1803,16,La croûte dorée méritait amplement son nom...,2026-03-21,5
157,3,Grand Conclave réussi haut la main...,2024-03-13,5
499,12,"Raclette somptueuse, tenders parfaitement frits...",2025-06-28,5
2837,8,Impossible de trouver le moindre défaut...,2024-04-15,5
2111,5,Très bon repas dans l'ensemble...,2025-06-18,4
356,4,"Banquet de qualité, le fromage était excellent...",2024-10-09,4
839,8,"Belle dégustation, les chevaliers ont bien travaillé...",2024-06-20,4
566,6,"Bon repas, la lampe chauffait bien...",2024-03-16,4
502,10,"Très bonne cène, l'ambiance mystique...",2025-08-04,4
2377,21,Bon festin des porte-spatules...,2025-09-17,4
1305,21,"Souper réussi, les initiés ont bien honoré...",2026-03-16,4
2873,19,Bonne communion autour du tender...,2024-10-17,4
248,3,Festin de la croûte dorée bien réussi...,2024-03-13,4
1200,25,Grand conclave plaisant...,2025-04-03,4
2509,25,Bonne raclette traditionnelle...,2026-02-07,4
115,8,Festin du tender réussi...,2024-07-24,4
1440,20,Raclette des ombres bien mystérieuse...,2024-05-06,4
2790,22,Banquet honorable...,2025-08-17,4
949,18,Repas correct sans être mémorable...,2026-03-01,3
100,24,Soirée moyenne. La lampe chauffante...,2024-07-28,3
1450,17,Cène décevante. L'ambiance mystique...,2025-06-15,3
486,15,Festin moyen. Les porte-spatules...,2025-05-14,3
45,19,Nuit fromagère sans grand relief...,2025-01-27,3
175,17,Souper passable. Le gril mystique...,2025-02-07,3
2038,22,Communion tendue. Quelques désaccords...,2024-04-11,3
34,1,La croûte n'était pas aussi dorée...,2025-10-28,3
1669,21,Conclave moyen. Le fil fondu s'est cassé...,2026-03-03,3
1505,2,Raclette traditionnelle trop traditionnelle...,2024-02-27,3
200,10,Tender correct mais sauce secrète...,2025-07-21,3
288,1,Raclette des ombres trop éclairée...,2024-01-26,3
20,1,Banquet trop long et pas assez garni...,2024-01-26,3
785,5,Soirée décevante. La lampe à raclette...,2025-01-26,2
1935,9,Cène ratée. Le fromage était trop épais...,2025-06-01,2
219,1,Festin des porte-spatules très décevant...,2025-10-28,2
1686,17,Nuit fromagère cauchemardesque...,2024-08-01,2
1854,21,Souper raté. Le gril mystique a rendu l'âme...,2024-09-28,2
1898,24,Communion avortée. La machine est tombée...,2026-01-13,2
1288,15,La croûte n'était pas dorée mais carbonisée...,2026-01-14,2
532,10,Grand conclave raté. Le fil s'est cassé...,2025-10-28,2
1264,21,Raclette immanquable. Fromage froid...,2025-03-04,1
2998,24,Festin catastrophique. Les tenders sentaient...,2024-06-08,1
1355,5,Raclette des ombres : les ombres ont tout mangé...,2025-08-15,1
1511,5,Banquet indigne de l'Ordre...,2024-10-04,1
1029,16,Pire dégustation de ma vie de Tenrac...,2025-07-25,1
89,6,Soirée honteuse. La lampe ardente...,2025-12-07,1
221,3,Cène du coulant éternel : rien n'a coulé...,2024-03-13,1
2974,22,Les porte-spatules ont porté des spatules...,2025-05-26,1
352,25,"Raclette divine, fromage coulant...",2024-09-29,5
484,15,Un festin digne des plus hauts grades...,2025-08-31,5
720,7,"Fromage d'exception, tenders bénis...",2024-09-13,5
1722,21,La lampe à raclette ronronnait comme jamais...,2026-03-19,5
717,6,Festin exceptionnel. Chaque plat était une ode...,2024-11-26,5
277,4,Les tenders étaient d'une tendreté transcendante...,2024-09-20,5
200,24,"Raclette somptueuse, ambiance feutrée...",2024-06-09,5
1126,8,Soirée parfaite de bout en bout...,2024-03-15,5
2190,13,Le Grand Chancelier lui-même aurait applaudi...,2024-12-03,5
24,1,Les porte-spatules ont assuré avec maestria...,2025-10-28,5
443,9,"Fromage coulant, tenders croustillants...",2025-12-25,5
2636,13,Dégustations sublimes. Les chevaliers...,2025-02-06,5
2155,8,La nuit du fromage interminable...,2024-07-09,5
954,4,Communion parfaite autour du tender béni...,2026-01-11,5
1065,16,Les Frères de la Lampe Ardente ont brillé...,2024-10-02,5
1671,23,La croûte dorée méritait amplement son nom...,2026-03-02,5
877,2,Grand conclave réussi haut la main...,2025-04-14,5
659,9,Raclette traditionnelle sublimée...,2025-07-01,5
2749,19,Impossible de trouver le moindre défaut...,2024-04-20,5
1092,9,Chaque bouchée de tender nappé de raclette...,2025-12-12,5
515,15,La sauce secrète de l'Ordre restera gravée...,2025-08-10,5
2914,21,"Organisation parfaite, fromage d'excellence...",2024-12-05,5
2199,7,Le Maître d'entretien avait bien préparé...,2025-03-02,5
2242,24,Soirée de haute tenue. Fromage affiné...,2026-03-02,5
1040,2,"On a raclé, on a fondu, on a savouré...",2025-03-09,5
2235,8,Festin royal. Le Grand Chevalier...,2024-05-25,5
1446,5,La raclette des ombres portait bien son nom...,2025-05-13,5
1111,2,Banquet de l'Ordre à la hauteur...,2026-01-14,5
290,6,Repas exceptionnel servi avec solennité...,2025-09-07,5
1772,17,Le cercle des fondus tranquilles...,2024-06-08,5
165,11,Les gardiens de la plaque chauffante...,2025-11-04,5
216,9,Les veilleurs de la croûte méritent leur titre...,2025-11-30,5
1173,9,Le phalanstère du bon fondu n'a pas menti...,2026-03-08,5
1041,12,La brigade fromagère de l'ombre...,2025-08-23,5
857,19,Le cénacle des fromagers errants...,2024-05-26,5
2767,9,La loge hermétique du bon fromage...,2026-02-27,5
559,9,Les apôtres du coulant mystérieux...,2026-01-11,5
1104,19,La commanderie de la plaque ardente...,2026-03-23,5
1416,2,Le conclave des chevaliers racleurs...,2026-03-06,5
39,1,Les disciples de la lampe sacrée...,2025-10-28,5
2320,9,La citadelle du tender immuable...,2026-01-20,5
56,1,Festin décevant. Les chevaliers...,2024-01-26,2
241,3,Réunion bâclée. L'adresse secrète était bien...,2024-03-13,2
797,17,Repas raté. Organisation chaotique...,2025-06-28,2
485,8,Soirée décevante. Le mystère de l'adresse...,2024-08-26,2
53,2,Les légumes ont pris trop de place.,2024-02-26,2
23,2,"Raclette fondante, tenders croustillants.",2024-01-30,4
48,2,"Rien d'exceptionnel, mais je suis repu.",2024-02-06,3
73,24,Les tenders compensaient le reste.,2024-02-28,3
65,24,Correct sans être mémorable.,2024-02-18,3
11,24,Le meilleur mélange tenders-raclette jamais goûté.,2024-02-22,5
150,24,"Ni bon ni mauvais, dans la moyenne.",2024-02-01,3
221,24,Déçu par ce choix culinaire.,2024-02-24,2
294,24,Ce repas restera dans les annales de l'ordre.,2024-02-02,5
245,24,Je n'aurais pas dû venir.,2024-02-27,1
136,24,Presque parfait.,2024-02-12,4
241,24,Ces légumes sont une profanation.,2024-02-14,1
19,24,Inacceptable pour l'Ordre.,2024-02-05,1
157,24,"Bon festin, ambiance au rendez-vous.",2024-02-11,4
176,24,La tradition honorée avec brio.,2024-02-21,4
268,24,Les tenders étaient excellents ce soir.,2024-02-22,4
248,24,"Ni bon ni mauvais, dans la moyenne.",2024-02-19,3
106,24,Acceptable pour un soir ordinaire.,2024-02-17,3
270,24,Je n'aurais pas dû venir.,2024-02-05,1
290,24,"Bof, rien d'exceptionnel.",2024-02-12,2
162,24,La raclette sauvait un peu le tout.,2024-02-29,3
7,24,La raclette coulait avec une grâce infinie.,2024-02-07,5
204,24,"Bon festin, ambiance au rendez-vous.",2024-02-26,4
263,24,Une honte culinaire.,2024-02-07,1
223,24,"Très bon repas, la raclette était généreuse.",2024-02-25,4
276,24,Correct sans être mémorable.,2024-02-12,3
249,24,La raclette sauvait un peu le tout.,2024-02-02,3
267,24,La tradition honorée avec brio.,2024-02-29,4
215,24,Vive l'Ordre et vive le fromage !,2024-02-28,5
192,24,"Exceptionnel, je suis comblé.",2024-02-06,5
262,24,"Bof, rien d'exceptionnel.",2024-02-12,2
17,24,"Pas mémorable, mais pas honteux non plus.",2024-02-04,3
93,24,Les tenders étaient excellents ce soir.,2024-02-04,4
250,16,Le meilleur mélange tenders-raclette jamais goûté.,2024-02-25,5
135,16,"Rien d'exceptionnel, mais je suis repu.",2024-02-19,3
88,16,La raclette sauvait un peu le tout.,2024-02-25,3
172,16,La tradition n'était pas respectée.,2024-02-15,2
173,16,La tradition n'était pas respectée.,2024-02-14,2
284,16,"Exceptionnel, je suis comblé.",2024-02-09,5
201,16,Digne des plus grands banquets de notre ordre !,2024-02-18,5
38,16,"Pas mémorable, mais pas honteux non plus.",2024-02-04,3
234,16,"Parfait, absolument parfait !",2024-02-29,5
199,16,Presque parfait.,2024-02-06,4
294,16,Pas à la hauteur des attentes.,2024-02-27,2
9,19,"Raclette fondante, tenders croustillants.",2024-04-18,4
97,19,Je serais au paradis si ce repas durait éternellement.,2024-04-11,5
46,19,"L'ensemble était équilibré, je suppose.",2024-04-18,3
187,19,Presque parfait.,2024-04-15,5
7,19,Ces légumes sont une profanation.,2024-04-16,1
181,19,"Parfait, absolument parfait !",2024-04-20,5
118,19,Presque parfait.,2024-04-20,4
208,19,"Rien d'exceptionnel, mais je suis repu.",2024-04-23,3
273,19,La raclette sauvait un peu le tout.,2024-04-23,3
257,19,Inacceptable pour l'Ordre.,2024-04-02,1
31,19,La raclette sauvait un peu le tout.,2024-04-12,3
148,19,"Belle soirée, le fromage coulait bien.",2024-04-13,4
254,19,"Parfait, absolument parfait !",2024-04-29,5
120,19,La raclette sauvait un peu le tout.,2024-04-15,3
279,19,Pas à la hauteur des attentes.,2024-04-15,2
248,19,"Ni bon ni mauvais, dans la moyenne.",2024-04-26,3
91,19,Ce repas restera dans les annales de l'ordre.,2024-04-25,5
79,19,Très bonne soirée dans l'ensemble.,2024-04-18,4
275,19,Quelques légumes mais ça passe.,2024-04-03,3
194,12,"Bon festin, ambiance au rendez-vous.",2024-04-29,4
237,12,"Belle soirée, le fromage coulait bien.",2024-04-22,4
23,12,La raclette coulait avec une grâce infinie.,2024-05-04,5
6,12,"Décevant, on peut faire mieux.",2024-04-24,2
69,12,Correct sans être mémorable.,2024-04-20,3
234,12,"Moyen, comme souvent quand il y a des légumes.",2024-04-08,3
99,12,Inacceptable pour l'Ordre.,2024-05-03,1
11,12,Les tenders étaient excellents ce soir.,2024-04-12,4
132,12,"Très bon repas, la raclette était généreuse.",2024-04-12,4
181,12,Les tenders compensaient le reste.,2024-05-05,3
140,12,"Ni bon ni mauvais, dans la moyenne.",2024-04-07,3
223,12,Un désastre fromager.,2024-05-01,1
216,12,"Ni bon ni mauvais, dans la moyenne.",2024-04-29,3
1,12,"Rien d'exceptionnel, mais je suis repu.",2024-04-29,3
56,12,Pas à la hauteur des attentes.,2024-04-09,2
33,12,"Pas mémorable, mais pas honteux non plus.",2024-05-05,3
262,12,Très bonne soirée dans l'ensemble.,2024-04-10,4
182,12,Ce repas restera dans les annales de l'ordre.,2024-04-21,5
46,12,"Digne de notre Ordre, bravo.",2024-04-18,4
43,12,La tradition honorée avec brio.,2024-05-04,4
222,12,"Rien d'exceptionnel, mais je suis repu.",2024-04-29,3
5,12,Je n'aurais pas dû venir.,2024-04-27,1
275,12,La raclette sauvait un peu le tout.,2024-04-17,3
38,17,Correct sans être mémorable.,2024-04-28,3
280,17,La raclette coulait avec une grâce infinie.,2024-04-28,5
207,17,"Ni bon ni mauvais, dans la moyenne.",2024-04-21,3
15,17,La tradition honorée avec brio.,2024-04-16,4
166,17,"Bon festin, ambiance au rendez-vous.",2024-04-14,4
135,17,La tradition n'était pas respectée.,2024-05-01,2
242,17,Le meilleur mélange tenders-raclette jamais goûté.,2024-05-02,5
17,17,Le meilleur mélange tenders-raclette jamais goûté.,2024-04-14,5
288,17,Presque parfait.,2024-05-06,4
172,17,"Décevant, on peut faire mieux.",2024-04-21,2
213,17,Je serais au paradis si ce repas durait éternellement.,2024-05-12,5
179,17,Une honte culinaire.,2024-05-11,1
13,17,"Bon festin, ambiance au rendez-vous.",2024-04-16,4
84,17,La raclette coulait avec une grâce infinie.,2024-04-21,5
215,17,Le fromage était masqué par la verdure.,2024-05-05,2
33,17,"Bof, rien d'exceptionnel.",2024-04-20,2
74,17,"Rien d'exceptionnel, mais je suis repu.",2024-04-18,3
191,17,Les tenders compensaient le reste.,2024-05-02,3
121,17,Un désastre fromager.,2024-04-21,1
41,17,"Pas mémorable, mais pas honteux non plus.",2024-05-09,3
30,17,Trop peu de raclette pour compenser.,2024-04-20,2
199,24,Je serais au paradis si ce repas durait éternellement.,2024-04-27,5
75,24,Trop peu de raclette pour compenser.,2024-05-05,2
189,24,"Magnifique soirée, la tradition honorée.",2024-05-07,5
274,24,"Bof, rien d'exceptionnel.",2024-05-21,2
173,24,"Moyen, comme souvent quand il y a des légumes.",2024-05-15,3
265,24,Je serais au paradis si ce repas durait éternellement.,2024-04-25,5
62,24,Trop peu de raclette pour compenser.,2024-05-17,2
86,24,"Bon festin, ambiance au rendez-vous.",2024-05-19,4
198,24,Je serais au paradis si ce repas durait éternellement.,2024-05-01,5
222,24,Je n'aurais pas dû venir.,2024-04-30,1
32,24,Très bonne soirée dans l'ensemble.,2024-05-08,4
70,24,"Belle soirée, le fromage coulait bien.",2024-05-07,4
233,24,Digne des plus grands banquets de notre ordre !,2024-05-02,5
179,24,Un désastre fromager.,2024-05-01,1
231,24,Le pire repas de ma vie de tenrac.,2024-05-08,1
156,24,Très bonne soirée dans l'ensemble.,2024-04-27,4
220,24,"Très bon repas, la raclette était généreuse.",2024-05-14,4
15,24,Très bonne soirée dans l'ensemble.,2024-05-20,4
82,24,"Très bon repas, la raclette était généreuse.",2024-04-26,4
167,8,Déçu par ce choix culinaire.,2024-05-27,2
265,8,"Raclette fondante, tenders croustillants.",2024-06-06,4
264,8,La raclette était parfaitement fondante.,2024-05-28,4
285,8,Trop peu de raclette pour compenser.,2024-06-19,2
71,8,"Parfait, absolument parfait !",2024-05-27,5
176,8,"Raclette fondante, tenders croustillants.",2024-05-22,4
257,8,Trop peu de raclette pour compenser.,2024-05-30,2
54,8,La raclette était parfaitement fondante.,2024-05-31,4
280,8,Trop peu de raclette pour compenser.,2024-06-13,2
189,8,Très bonne soirée dans l'ensemble.,2024-06-12,4
116,8,Presque parfait.,2024-05-26,5
292,8,Déçu par ce choix culinaire.,2024-05-31,2
175,8,Le meilleur mélange tenders-raclette jamais goûté.,2024-06-21,5
48,8,"Très bon repas, la raclette était généreuse.",2024-06-09,4
140,8,La raclette coulait avec une grâce infinie.,2024-05-23,5
260,8,"Exceptionnel, je suis comblé.",2024-05-23,5
125,8,"Moyen, comme souvent quand il y a des légumes.",2024-06-09,3
105,8,"Bof, rien d'exceptionnel.",2024-06-07,2
165,8,Manquait cruellement de fromage.,2024-05-27,2
136,8,"Décevant, on peut faire mieux.",2024-06-21,2
204,8,"Rien d'exceptionnel, mais je suis repu.",2024-05-24,3
23,8,"Belle soirée, le fromage coulait bien.",2024-05-24,4
42,8,"Digne de notre Ordre, bravo.",2024-05-24,4
101,8,Le meilleur mélange tenders-raclette jamais goûté.,2024-06-03,5
259,8,Presque parfait.,2024-06-21,4
9,15,Vive l'Ordre et vive le fromage !,2024-07-29,5
100,15,"Digne de notre Ordre, bravo.",2024-08-10,4
138,15,"Parfait, absolument parfait !",2024-08-10,5
290,15,Je serais au paradis si ce repas durait éternellement.,2024-08-04,5
119,15,Les tenders compensaient le reste.,2024-08-09,3
44,15,"Rien d'exceptionnel, mais je suis repu.",2024-08-01,3
163,15,Ce repas restera dans les annales de l'ordre.,2024-07-28,5
43,15,"Bon festin, ambiance au rendez-vous.",2024-07-29,4
175,15,Ce repas restera dans les annales de l'ordre.,2024-08-03,5
284,15,Digne des plus grands banquets de notre ordre !,2024-08-12,5
276,15,Les tenders étaient excellents ce soir.,2024-08-05,4
69,15,Correct sans être mémorable.,2024-08-20,3
274,15,Les légumes ont pris trop de place.,2024-07-22,2
70,15,La raclette était parfaitement fondante.,2024-08-10,4
248,15,Vive l'Ordre et vive le fromage !,2024-07-25,5
204,6,Presque parfait.,2024-08-28,4
15,6,Je n'aurais pas dû venir.,2024-08-27,1
132,6,Les tenders étaient excellents ce soir.,2024-08-15,4
296,6,"Bon festin, ambiance au rendez-vous.",2024-09-08,4
249,6,"Ni bon ni mauvais, dans la moyenne.",2024-09-08,3
175,6,La tradition honorée avec brio.,2024-08-22,4
203,6,La raclette sauvait un peu le tout.,2024-08-16,3
115,6,"Bof, rien d'exceptionnel.",2024-09-06,2
257,6,Très bonne soirée dans l'ensemble.,2024-09-02,4
65,6,Les tenders étaient excellents ce soir.,2024-08-30,4
4,6,La raclette coulait avec une grâce infinie.,2024-08-11,5
254,6,La raclette coulait avec une grâce infinie.,2024-08-20,5
176,6,Le pire repas de ma vie de tenrac.,2024-09-10,1
300,6,Acceptable pour un soir ordinaire.,2024-08-19,3
63,6,Presque parfait.,2024-09-08,4
27,6,Presque parfait.,2024-09-03,4
185,6,La raclette coulait avec une grâce infinie.,2024-08-15,5
236,6,Ce repas restera dans les annales de l'ordre.,2024-08-20,5
186,6,"Digne de notre Ordre, bravo.",2024-08-17,4
216,6,"Exceptionnel, je suis comblé.",2024-08-17,5
162,6,Ce repas restera dans les annales de l'ordre.,2024-08-27,5
184,6,Presque parfait.,2024-08-19,5
111,6,"Moyen, comme souvent quand il y a des légumes.",2024-08-13,3
230,6,"Magnifique soirée, la tradition honorée.",2024-09-06,5
99,16,Le fromage était masqué par la verdure.,2024-08-14,2
93,16,"Moyen, comme souvent quand il y a des légumes.",2024-08-23,3
196,16,Acceptable pour un soir ordinaire.,2024-09-02,3
32,16,La raclette sauvait un peu le tout.,2024-08-18,3
213,16,Presque parfait.,2024-08-30,5
193,16,La raclette était froide et insipide.,2024-08-30,1
257,16,"Très bon repas, la raclette était généreuse.",2024-08-16,4
136,16,Le pire repas de ma vie de tenrac.,2024-09-12,1
90,16,Acceptable pour un soir ordinaire.,2024-08-30,3
287,16,"Parfait, absolument parfait !",2024-09-08,5
189,16,Correct sans être mémorable.,2024-08-31,3
36,16,Manquait cruellement de fromage.,2024-08-17,2
152,16,Trop peu de raclette pour compenser.,2024-08-17,2
63,16,"Très bon repas, la raclette était généreuse.",2024-08-22,4
258,16,Correct sans être mémorable.,2024-09-10,3
165,16,"Très bon repas, la raclette était généreuse.",2024-09-10,4
29,16,"Bon festin, ambiance au rendez-vous.",2024-08-19,4
195,16,Déçu par ce choix culinaire.,2024-09-03,2
27,16,Je serais au paradis si ce repas durait éternellement.,2024-08-24,5
199,25,La raclette coulait avec une grâce infinie.,2024-09-13,5
153,25,La raclette était froide et insipide.,2024-09-04,1
56,25,"Belle soirée, le fromage coulait bien.",2024-09-14,4
239,25,Déçu par ce choix culinaire.,2024-09-12,2
294,25,Digne des plus grands banquets de notre ordre !,2024-09-10,5
167,25,Pas à la hauteur des attentes.,2024-09-13,2
125,25,"L'ensemble était équilibré, je suppose.",2024-08-16,3
229,25,"Belle soirée, le fromage coulait bien.",2024-09-08,4
137,25,"Exceptionnel, je suis comblé.",2024-09-10,5
225,25,Trop peu de raclette pour compenser.,2024-09-10,2
289,25,Quelques légumes mais ça passe.,2024-08-24,3
293,25,Acceptable pour un soir ordinaire.,2024-09-10,3
177,25,"Ni bon ni mauvais, dans la moyenne.",2024-08-28,3
128,25,"Parfait, absolument parfait !",2024-09-12,5
234,25,La raclette était parfaitement fondante.,2024-08-23,4
257,25,Je n'aurais pas dû venir.,2024-09-11,1
295,25,Presque parfait.,2024-08-27,5
141,25,Ce repas restera dans les annales de l'ordre.,2024-09-11,5
173,25,Le meilleur mélange tenders-raclette jamais goûté.,2024-08-23,5
25,25,Une honte culinaire.,2024-09-06,1
94,25,Quelques légumes mais ça passe.,2024-08-28,3
64,25,"Exceptionnel, je suis comblé.",2024-08-24,5
11,25,Les légumes ont pris trop de place.,2024-09-15,2
220,25,Les tenders étaient excellents ce soir.,2024-08-27,4
255,25,Très bonne soirée dans l'ensemble.,2024-08-28,4
68,25,Manquait cruellement de fromage.,2024-08-26,2
245,25,"Moyen, comme souvent quand il y a des légumes.",2024-08-19,3
22,7,Ces légumes sont une profanation.,2024-08-31,1
241,7,La tradition n'était pas respectée.,2024-09-25,2
278,7,La raclette sauvait un peu le tout.,2024-08-27,3
73,7,Le pire repas de ma vie de tenrac.,2024-09-14,1
167,7,"Magnifique soirée, la tradition honorée.",2024-09-06,5
190,7,Inacceptable pour l'Ordre.,2024-09-08,1
114,7,Les tenders compensaient le reste.,2024-09-11,3
17,7,Presque parfait.,2024-09-07,4
238,7,Vive l'Ordre et vive le fromage !,2024-09-01,5
259,7,Le fromage était masqué par la verdure.,2024-08-27,2
148,7,"Magnifique soirée, la tradition honorée.",2024-08-26,5
8,7,Très bonne soirée dans l'ensemble.,2024-09-24,4
165,7,Manquait cruellement de fromage.,2024-09-16,2
198,7,La tradition honorée avec brio.,2024-09-06,4
117,7,"Raclette fondante, tenders croustillants.",2024-08-28,4
33,7,On peut faire mieux sans légumes.,2024-09-14,2
130,7,Correct sans être mémorable.,2024-09-16,3
146,7,"Ni bon ni mauvais, dans la moyenne.",2024-09-18,3
87,7,Les tenders étaient excellents ce soir.,2024-09-11,4
214,7,Les tenders étaient excellents ce soir.,2024-09-16,4
184,7,"Magnifique soirée, la tradition honorée.",2024-09-05,5
218,7,Trop peu de raclette pour compenser.,2024-09-17,2
23,7,Ce repas restera dans les annales de l'ordre.,2024-09-12,5
7,7,"Horrible, les légumes ont tout gâché.",2024-09-01,1
255,7,"L'ensemble était équilibré, je suppose.",2024-09-16,3
85,4,"Raclette fondante, tenders croustillants.",2024-09-28,4
102,4,"Belle soirée, le fromage coulait bien.",2024-09-26,4
24,4,Les tenders compensaient le reste.,2024-09-16,3
138,4,"L'ensemble était équilibré, je suppose.",2024-09-24,3
269,4,"Moyen, comme souvent quand il y a des légumes.",2024-09-16,3
272,4,Le fromage était masqué par la verdure.,2024-09-13,2
100,4,"Magnifique soirée, la tradition honorée.",2024-10-02,5
156,4,"Digne de notre Ordre, bravo.",2024-09-26,4
256,4,On peut faire mieux sans légumes.,2024-09-21,2
240,4,Presque parfait.,2024-09-21,5
115,4,La tradition honorée avec brio.,2024-09-23,4
145,4,Presque parfait.,2024-10-02,5
271,4,"Belle soirée, le fromage coulait bien.",2024-09-28,4
48,4,Les légumes ont pris trop de place.,2024-09-16,2
53,4,Manquait cruellement de fromage.,2024-09-28,2
227,4,"Digne de notre Ordre, bravo.",2024-09-17,4
280,4,Presque parfait.,2024-10-03,4
286,4,Quelques légumes mais ça passe.,2024-09-28,3
144,4,La raclette sauvait un peu le tout.,2024-09-14,3
267,4,Le meilleur mélange tenders-raclette jamais goûté.,2024-09-11,5
35,4,"Moyen, comme souvent quand il y a des légumes.",2024-09-08,3
201,4,La tradition honorée avec brio.,2024-09-22,4
230,4,"Digne de notre Ordre, bravo.",2024-10-04,4
57,4,"Ni bon ni mauvais, dans la moyenne.",2024-09-21,3
31,4,"Magnifique soirée, la tradition honorée.",2024-10-05,5
292,4,Vive l'Ordre et vive le fromage !,2024-09-13,5
222,4,"Magnifique soirée, la tradition honorée.",2024-09-22,5
224,4,"Magnifique soirée, la tradition honorée.",2024-09-14,5
265,4,Acceptable pour un soir ordinaire.,2024-09-27,3
79,20,"Très bon repas, la raclette était généreuse.",2024-11-05,4
253,20,"Ni bon ni mauvais, dans la moyenne.",2024-11-01,3
69,20,"Raclette fondante, tenders croustillants.",2024-10-15,4
100,20,Acceptable pour un soir ordinaire.,2024-11-02,3
109,20,Très bonne soirée dans l'ensemble.,2024-10-22,4
124,20,"Très bon repas, la raclette était généreuse.",2024-10-25,4
20,20,Déçu par ce choix culinaire.,2024-11-06,2
126,20,Je serais au paradis si ce repas durait éternellement.,2024-10-22,5
107,20,Pas à la hauteur des attentes.,2024-11-02,2
38,20,Un désastre fromager.,2024-10-29,1
207,20,La raclette coulait avec une grâce infinie.,2024-10-25,5
14,20,Vive l'Ordre et vive le fromage !,2024-10-18,5
6,20,La raclette était parfaitement fondante.,2024-10-27,4
212,20,La raclette coulait avec une grâce infinie.,2024-10-21,5
